Crop,Disease,ScientificName,Symptoms,Treatment,Region
Potato,Early Blight,Alternaria solani,Brown concentric ring spots on older leaves,Fungicide rotation; crop rotation,Worldwide
Potato,Potato Virus Y,Potyvirus,Mosaic mottling; leaf crinkling; stunted plants,Certified virus-free seed tubers; control aphid vectors,Worldwide
Potato,Common Scab,Streptomyces scabies,Rough corky lesions on tuber surface,Maintain soil pH below 5.5; avoid excess lime,Worldwide
Potato,Blackleg,Pectobacterium atrosepticum,Black slimy decay at stem base,Use certified seed; avoid waterlogging,Worldwide
Tomato,Late Blight,Phytophthora infestans,Water-soaked lesions on leaves turning brown; white mold underside,Fungicide (chlorothalonil); resistant varieties,Worldwide
Tomato,Early Blight,Alternaria solani,Concentric ring spots on lower leaves,Crop rotation; fungicide spray,Worldwide
Tomato,Bacterial Spot,Xanthomonas spp.,Small dark water-soaked spots on leaves and fruit,Copper-based bactericide; disease-free seed,Worldwide
Tomato,Tomato Yellow Leaf Curl Virus,Begomovirus,Upward leaf curling; yellowing; severe stunting,Control whitefly vector; resistant varieties,Worldwide
Tomato,Fusarium Wilt,Fusarium oxysporum f. sp. lycopersici,One-sided wilting; yellowing of lower leaves,Resistant varieties; soil solarization,Worldwide
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular spots with dark margins and grey centers,Fungicide; remove infected debris,Worldwide
Grape,Downy Mildew,Plasmopara viticola,Yellow oily spots on upper leaf surface; white growth underside,Copper-based fungicide; canopy management,Worldwide
Grape,Powdery Mildew,Erysiphe necator,White powdery coating on leaves; shoots; and fruit,Sulfur spray; resistant varieties,Worldwide
Grape,Black Rot,Guignardia bidwellii,Brown circular lesions on leaves; shriveled black fruit,Fungicide; remove mummified berries,Worldwide
Apple,Apple Scab,Venturia inaequalis,Olive-green to black velvety spots on leaves and fruit,Fungicide spray; resistant varieties,Worldwide
Apple,Fire Blight,Erwinia amylovora,Blackened shoots with a scorched appearance,Prune infected wood; copper spray; resistant varieties,Worldwide
Apple,Cedar Apple Rust,Gymnosporangium juniperi-virginianae,Bright orange-yellow spots on leaves,Remove nearby cedar trees; fungicide,North America
Banana,Panama Disease (Fusarium Wilt),Fusarium oxysporum f. sp. cubense,Yellowing of older leaves; internal stem discoloration,Resistant varieties (e.g. Cavendish alternatives); field sanitation,Worldwide
Banana,Black Sigatoka,Pseudocercospora fijiensis,Dark streaks on leaves merging into necrotic patches,Fungicide rotation; resistant varieties,Worldwide
Banana,Bunchy Top Virus,Banana bunchy top virus,Stunted; bunched leaves at top; dark green streaks,Remove infected plants; control aphid vector,Worldwide
Citrus,Citrus Greening (HLB),Candidatus Liberibacter spp.,Blotchy yellow mottling; misshapen bitter fruit,Remove infected trees; control psyllid vector,Worldwide
Citrus,Citrus Canker,Xanthomonas citri,Raised corky lesions with yellow halo on leaves and fruit,Copper spray; remove infected material,Worldwide
Mango,Anthracnose,Colletotrichum gloeosporioides,Black sunken spots on leaves; flowers; and fruit,Fungicide spray; prune for air circulation,Worldwide
Mango,Powdery Mildew,Oidium mangiferae,White powdery growth on flowers and young leaves,Sulfur-based fungicide,Worldwide
Chickpea,Ascochyta Blight,Ascochyta rabiei,Concentric brown lesions on leaves; stems; and pods,Resistant varieties; fungicide seed treatment,Worldwide
Chickpea,Fusarium Wilt,Fusarium oxysporum f. sp. ciceris,Sudden wilting; vascular browning in stem,Resistant varieties; crop rotation,Worldwide
Soybean,Soybean Rust,Phakopsora pachyrhizi,Small reddish-brown pustules on leaf underside,Fungicide (triazole/strobilurin); resistant varieties,Worldwide
Soybean,Bacterial Blight,Pseudomonas savastanoi pv. glycinea,Angular water-soaked spots turning brown with yellow halo,Resistant varieties; crop rotation,Worldwide
Chili/Pepper,Anthracnose,Colletotrichum spp.,Sunken dark circular lesions on fruit,Fungicide spray; resistant varieties,Worldwide
Chili/Pepper,Bacterial Wilt,Ralstonia solanacearum,Sudden wilting without yellowing; vascular browning,Crop rotation; resistant varieties,Worldwide
Onion,Purple Blotch,Alternaria porri,Purple-brown lesions with concentric rings on leaves,Fungicide rotation; avoid overhead irrigation,Worldwide
Onion,Downy Mildew,Peronospora destructor,Pale green to yellow patches with grey fuzzy growth,Fungicide spray; wider spacing,Worldwide
Groundnut (Peanut),Leaf Spot (Tikka Disease),Cercospora arachidicola,Dark brown circular spots with yellow halo,Fungicide spray; resistant varieties,Worldwide
Groundnut (Peanut),Rust,Puccinia arachidis,Small orange-brown pustules on leaf underside,Fungicide spray; resistant varieties,Worldwide
Sunflower,Downy Mildew,Plasmopara halstedii,Stunted plants; chlorotic leaves with white growth underside,Seed treatment; resistant hybrids,Worldwide
Sunflower,Sclerotinia Head Rot,Sclerotinia sclerotiorum,Brown rot at head with white fungal growth,Crop rotation; fungicide spray,Worldwide
Coffee,Coffee Leaf Rust,Hemileia vastatrix,Orange-yellow powdery spots on leaf underside,Fungicide spray; resistant varieties,Worldwide
Coffee,Coffee Berry Disease,Colletotrichum kahawae,Dark sunken lesions on green berries,Fungicide spray; resistant varieties,Africa
Cocoa,Black Pod Disease,Phytophthora palmivora,Black rot spreading over pod surface,Fungicide spray; remove infected pods,Worldwide
Cocoa,Witches' Broom,Moniliophthora perniciosa,Abnormal broom-like shoot growth,Prune and remove infected tissue; resistant varieties,South America
Cassava,Cassava Mosaic Disease,Begomovirus,Mosaic pattern of yellow-green on leaves; leaf distortion,Resistant varieties; control whitefly vector,Africa
Cassava,Cassava Brown Streak Disease,Ipomovirus,Brown streaks on stems; yellow patches on leaves,Resistant varieties; disease-free cuttings,Africa
Barley,Net Blotch,Pyrenophora teres,Dark brown net-like pattern on leaves,Fungicide spray; resistant varieties,Worldwide
Barley,Powdery Mildew,Blumeria graminis f. sp. hordei,White powdery patches on leaves,Fungicide; resistant varieties,Worldwide
Sorghum,Anthracnose,Colletotrichum sublineola,Reddish lesions on leaves and stalks,Resistant hybrids; fungicide,Worldwide
Sorghum,Grain Mold,Fusarium spp. and others,Discoloration and molding of grain head,Timely harvest; resistant varieties,Worldwide
Cucumber,Downy Mildew,Pseudoperonospora cubensis,Yellow angular spots bound by veins; grey mold underside,Fungicide spray; resistant varieties,Worldwide
Cucumber,Powdery Mildew,Podosphaera xanthii,White powdery coating on leaves,Sulfur spray; resistant varieties,Worldwide
Cabbage,Black Rot,Xanthomonas campestris,V-shaped yellow lesions from leaf margin,Certified seed; crop rotation,Worldwide
Cabbage,Clubroot,Plasmodiophora brassicae,Swollen; distorted roots; stunted wilting plants,Soil pH adjustment (lime); resistant varieties,Worldwide
Strawberry,Grey Mold (Botrytis),Botrytis cinerea,Grey fuzzy mold on fruit and flowers,Fungicide spray; good air circulation,Worldwide
Strawberry,Leaf Scorch,Diplocarpon earlianum,Small purple spots merging into scorched appearance,Fungicide; remove infected leaves,Worldwide
Tea,Blister Blight,Exobasidium vexans,Translucent blister-like spots on young leaves,Fungicide spray; proper pruning,Asia
Tea,Red Rust,Cephaleuros parasiticus,Rusty orange patches on leaves and stems,Copper fungicide; improve drainage,Asia
Peanut,Peanut Mottle Virus,Potyvirus,Mottled light and dark green pattern on leaves,Resistant varieties; control aphid vector,Worldwide
